company,links,address,telephone,email,open,description,contacts,Cod_Fiscal,product_service,key_words,activity,service_area,opening_hours,payment_method,company_logo,photo_and_vid_gallary
MEDIANET S.R.L.,https://www.paginiaurii.ro//companii/IA%C5%9EI/L4365604/MEDIANET+S.R.L./,"AL. DOMENII, Nr. 21, IAŞI, Cod Postal 700280, Jud. IAŞI",0232-210 984, ,<built-in function open>, , , , , ,Consultanţă în afaceri şi finanţe, , , , , 
MAPOBAR S.R.L.,https://www.paginiaurii.ro//companii/BUCURE%C5%9ETI/L4327858/MAPOBAR+S.R.L./,"STR. TUDOR ARGHEZI, Nr. 26, Sc.B, Et.6, Ap.65, BUCUREŞTI, Cod Postal 20942",0766-365 974, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2015: FuncţiuneCOD FISCAL: 28508905NUMĂR DE ÎNREGISTRARE: J40/6116/2011FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 19/05/2011NUMAR ANGAJATI LA DATA 31/12/2015: 1CAPITALUL SUBSCRIS: 200 RONCIFRA DE AFACERI LA DATA 31/12/2015: 31334 RON PROFIT LA DATA 31/12/2015: 4930 RON", ,28508905, , ,Consultanţă în afaceri şi finanţe, , , , , 
NEI&RC CONSULTING S.R.L.,https://www.paginiaurii.ro//companii/BUCURE%C5%9ETI/L4366489/NEI%26RC+CONSULTING+S.R.L./,"STR. PAUL GRECEANU, Nr. 41, Et.2, BUCUREŞTI, Cod Postal 20108",0731-034 134, ,<built-in function open>, , , , , ,Consultanţă în afaceri şi finanţe, , , , , 
ACTUAL CONSULTING S.R.L.,https://www.paginiaurii.ro//companii/PIATRA+NEAM%C5%A2/L4472908/ACTUAL+CONSULTING+S.R.L./,"STR. IZVOARE, Nr. 53, PIATRA NEAMŢ, Cod Postal 610184, Jud. NEAMŢ",0233-226 722, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2015: FuncţiuneCOD FISCAL: 14987204NUMĂR DE ÎNREGISTRARE: J27/596/2002FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 05/11/2002NUMAR ANGAJATI LA DATA 31/12/2015: 1CAPITALUL SUBSCRIS: 1000 RONCIFRA DE AFACERI LA DATA 31/12/2015: 191834 RON PROFIT LA DATA 31/12/2015: 101541 RON", ,14987204, , ,Consultanţă în afaceri şi finanţe, , , , , 
AGRICONSILIER S.R.L.,https://www.paginiaurii.ro//companii/ARAD/L4320585/AGRICONSILIER+S.R.L./,"STR. STEAGULUI, Nr. 1, ARAD, Cod Postal 310262, Jud. ARAD",0257-250 880, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2015: FuncţiuneCOD FISCAL: 16514199NUMĂR DE ÎNREGISTRARE: J02/1029/2004FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 14/06/2004NUMAR ANGAJATI LA DATA 31/12/2015: 4CAPITALUL SUBSCRIS: 1000 RONCIFRA DE AFACERI LA DATA 31/12/2015: 762200 RON PROFIT LA DATA 31/12/2015: 321537 RON", ,16514199, , ,Consultanţă în afaceri şi finanţe, , , , , 
FAR CONSTRUCT,https://www.paginiaurii.ro//companii/BUCURE%C5%9ETI/L4323559/FAR+CONSTRUCT/,"STR. PALISANDRULUI, Nr. 1, BUCUREŞTI, Cod Postal 13415",021-668 4400, ,<built-in function open>, , , , , ,Consultanţă în afaceri şi finanţe, , , , , 
CONSULTIM SA,https://www.paginiaurii.ro//companii/TIMI%C5%9EOARA/L4324711/CONSULTIM+SA/,"STR. SIMION BARNUTIU, Nr.62, Et. 4, TIMIŞOARA, Jud. TIMIŞ",0788-361 827, ,<built-in function open>,"Descriere:
Consultanţă financiar-contabilă, planuri de afaceri, management şi marketing, studii de fezabilitate, evaluări, reevaluări de bunuri mobile, imobile, active fixe din patrimoniul public şi privat la instituţii publice, monumente istorice, documentaţii de topometrie şi evaluare în scopul cumpărării terenului de către proprietari, dirigenţie de şantier, carte tehnică a construcţiei.INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2014: FuncţiuneCOD FISCAL: 3490152NUMĂR DE ÎNREGISTRARE: J35/697/1993FORMA LEGALA: SACOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 10/03/1993NUMAR ANGAJATI LA DATA 31/12/2014: 6CAPITALUL SUBSCRIS: 126224 RONCIFRA DE AFACERI LA DATA 31/12/2014: 242505 RON PROFIT LA DATA 31/12/2014: -374409 RON", ,3490152, , ,Consultanţă în afaceri şi finanţe, , , , , 
FAIR VALUE,https://www.paginiaurii.ro//companii/BUCURE%C5%9ETI/L4477541/FAIR+VALUE/,"CAL. FLOREASCA, Nr. 55, BUCUREŞTI, Cod Postal 14453",021-233 4437, ,<built-in function open>, , , , , ,Consultanţă în afaceri şi finanţe, , , , , 
GENESIS BUSINESS SOLUTIONS S.R.L.,https://www.paginiaurii.ro//companii/BUCURE%C5%9ETI/L4488013/GENESIS+BUSINESS+SOLUTIONS+S.R.L./,"STR. CĂPITAN JUVERDEANU, Nr. 52, BUCUREŞTI, Cod Postal 23107",0722-982 020, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2014: FuncţiuneCOD FISCAL: 28593951NUMĂR DE ÎNREGISTRARE: J40/6957/2011FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 06/06/2011NUMAR ANGAJATI LA DATA 31/12/2014: CAPITALUL SUBSCRIS: 200 RONCIFRA DE AFACERI LA DATA 31/12/2014: 77630 RON PROFIT LA DATA 31/12/2014: 15586 RON", ,28593951, , ,Consultanţă în afaceri şi finanţe, , , , , 
HOLMED CONSULTANTA SRL,"https://www.paginiaurii.ro//companii/2,+BUCURE%C5%9ETI/L4484834/HOLMED+CONSULTANTA+SRL/","ŞOS. IANCULUI, Nr.39, Bl. 103A Sc. B Et. 8 Ap. 75, 2, BUCUREŞTI, Cod Postal 21718",021-250 5656, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2015: FuncţiuneCOD FISCAL: 1928NUMĂR DE ÎNREGISTRARE: J40/8831/1991FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 16/08/1991NUMAR ANGAJATI LA DATA 31/12/2015: CAPITALUL SUBSCRIS: 200 RONCIFRA DE AFACERI LA DATA 31/12/2015: 83771 RON PROFIT LA DATA 31/12/2015: 3252 RON", ,1928, , ,Consultanţă în afaceri şi finanţe, , , , , 
SAL OYL S.R.L.,https://www.paginiaurii.ro//companii/TIMI%C5%9EOARA/L4326528/SAL+OYL+S.R.L./,"STR. CONSTANTIN SILVESTRI, Nr. 14, TIMIŞOARA, Jud. TIMIŞ",0765-239 329, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2015: FuncţiuneCOD FISCAL: 22819015NUMĂR DE ÎNREGISTRARE: J35/4372/2007FORMA LEGALA: SRLCOD CAEN:8299- ALTE ACTIVITĂŢI DE SERVICII SUPORT PENTRU ÎNTREPRINDERI N.C.A.DATA ÎNCEPERII ACTIVITĂŢII: 27/11/2007NUMAR ANGAJATI LA DATA 31/12/2015: CAPITALUL SUBSCRIS: 1000 RONCIFRA DE AFACERI LA DATA 31/12/2015: 542942 RON PROFIT LA DATA 31/12/2015: 31874 RON", ,22819015, , ,Consultanţă în afaceri şi finanţe, , , , , 
KAMY CONSULTING & ORGANIZER SRL,https://www.paginiaurii.ro//companii/IA%C5%9EI/L4352393/KAMY+CONSULTING+%26+ORGANIZER+SRL/,"STR. GARII, Nr.17, Bl. L9 Et. 2 Ap. 5, IAŞI, Cod Postal 700089, Jud. IAŞI",0722-825 020, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2014: FuncţiuneCOD FISCAL: 19277305NUMĂR DE ÎNREGISTRARE: J22/2980/2006FORMA LEGALA: SRLCOD CAEN:7490- ALTE ACTIVITĂŢI PROFESIONALE STIINŢIFICE SI TEHNICE N.C.A.DATA ÎNCEPERII ACTIVITĂŢII: 30/11/2006NUMAR ANGAJATI LA DATA 31/12/2014: 1CAPITALUL SUBSCRIS: 250 RONCIFRA DE AFACERI LA DATA 31/12/2014: 33657 RON PROFIT LA DATA 31/12/2014: 3986 RON", ,19277305, , ,Consultanţă în afaceri şi finanţe, , , , , 
PIERRE AUDOIN CONSULTANTS SRL,"https://www.paginiaurii.ro//companii/5,+BUCURE%C5%9ETI/L4474946/PIERRE+AUDOIN+CONSULTANTS+SRL/","STR. NEGUSTORI, Nr.12, Et. 2, 5, BUCUREŞTI, Cod Postal 23953",021-410 7580, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2015: FuncţiuneCOD FISCAL: 11572814NUMĂR DE ÎNREGISTRARE: J40/2539/1999FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 19/03/1999NUMAR ANGAJATI LA DATA 31/12/2015: 11CAPITALUL SUBSCRIS: 80850 RONCIFRA DE AFACERI LA DATA 31/12/2015: 1671755 RON PROFIT LA DATA 31/12/2015: 60004 RON", ,11572814, , ,Consultanţă în afaceri şi finanţe, , , , , 
